country,total cases,new cases,total death,new death,total reovered,new recovered,active cases,critical
Estonia,"609,769",,"2,799                                ",,"524,990",,"81,980",5
Moldova,"595,402",,"11,920                                ",,"504,142",,"79,340",49
Venezuela,"548,150",,"5,829                                ",,"541,243",,"1,078",36
Egypt,"515,645",,"24,613                                ",,"442,182",,"48,850",122
Libya,"507,100",,"6,437                                ",,"500,610",,53,
Ethiopia,"495,021",,"7,572                                ",,"472,588",,"14,861",1
Qatar,"483,041",,685                                ,,"479,766",,"2,590",4
Réunion,"477,305",,903                                ,,"418,572",,"57,830",10
Honduras,"458,921",,"11,051                                ",,N/A,N/A,N/A,105
Armenia,"445,828",,"8,712                                ",,"434,979",,"2,137",
Bosnia and Herzegovina,"400,636",,"16,212                                ",,"378,476",,"5,948",
Oman,"399,119",,"4,260                                ",,"384,669",,"10,190",2
North Macedonia,"345,067",,"9,591                                ",,"335,261",,215,
Kenya,"342,083",,"5,684                                ",,"335,874",,525,1
Zambia,"333,746",,"4,019                                ",,"329,690",,37,
Albania,"333,490",,"3,593                                ",,"328,299",,"1,598",
Botswana,"326,800",,"2,793                                ",,"323,747",,260,1
Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",
Montenegro,"283,979",,"2,790                                ",,"280,897",,292,6
Algeria,"271,135",,"6,881                                ",,"182,591",,"81,663",
Nigeria,"266,283",,"3,155                                ",,"259,640",,"3,488",11
Brunei ,"261,440",,225                                ,,"243,601",,"17,614",3
Zimbabwe,"259,356",,"5,622                                ",,"253,061",,673,12
Uzbekistan,"247,716",,"1,637                                ",,"241,486",,"4,593",23
Mozambique,"230,624",,"2,226                                ",,"228,310",,88,11
Martinique,"224,468",,"1,071                                ",,N/A,N/A,N/A,8
Laos,"217,099",+73,758                                ,,N/A,N/A,N/A,
Iceland,"207,504",,229                                ,,N/A,N/A,N/A,2
Kyrgyzstan,"206,543",,"2,991                                ",,"196,406",,"7,146",131
Afghanistan,"206,465",,"7,839                                ",,"184,179",,"14,447","1,124"
El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8
Guadeloupe,"197,918",,995                                ,,N/A,N/A,N/A,19
Maldives,"185,632",,311                                ,,"163,687",,"21,634",25
Trinidad and Tobago,"185,528",,"4,268                                ",,"181,075",,185,8
Ghana,"171,023",,"1,461                                ",,"169,553",,9,2
Namibia,"169,946",,"4,080                                ",,"165,826",,40,
Uganda,"169,810",,"3,630                                ",,"100,431",,"65,749",3
Jamaica,"152,517",,"3,399                                ",,"99,392",,"49,726",
Cambodia,"138,202",,"3,056                                ",,"135,050",,96,
Rwanda,"132,811",,"1,467                                ",,"131,112",,232,
Cameroon,"123,993",,"1,965                                ",,"118,616",,"3,412",13
Malta,"115,933",,809                                ,,"114,545",,579,4
Angola,"104,808",,"1,925                                ",,"102,538",,345,
Barbados,"104,416",,567                                ,,"102,435",,"1,414",
Channel Islands,"96,675",,208                                ,,"95,722",,745,
French Guiana,"96,389",,411                                ,,"11,254",,"84,724",2
DRC,"94,452",,"1,456                                ",,"83,728",,"9,268",
Senegal,"88,887",,"1,968                                ",,"86,887",,32,
Malawi,"88,220",,"2,685                                ",,"85,065",,470,67
Ivory Coast,"87,891",,830                                ,,"87,055",,6,
Suriname,"81,581",,"1,393                                ",,N/A,N/A,N/A,
French Polynesia,"77,416",,649                                ,,N/A,N/A,N/A,7
New Caledonia,"77,127",,314                                ,,"75,257",,"1,556",9
Eswatini,"73,908",,"1,422                                ",,"72,392",,94,
Guyana,"71,700",,"1,285                                ",,"70,233",,182,
Belize,"69,117",,688                                ,,"68,379",,50,6
Fiji,"68,451",,878                                ,,"66,524",,"1,049",
Madagascar,"67,488",,"1,413                                ",,"65,602",,473,
Sudan,"63,660",,"4,992                                ",,"58,082",,586,
Mauritania,"63,421",,997                                ,,"62,421",,3,
Cabo Verde,"63,107",,412                                ,,"62,581",,114,23
Bhutan,"62,512",,21                                ,,"61,564",,927,
Syria,"57,411",,"3,163                                ",,"54,243",,5,
Burundi,"51,018",,38                                ,,"50,638",,342,
Seychelles,"50,068",,171                                ,,"49,606",,291,
Gabon,"48,973",,306                                ,,"48,582",,85,
Andorra,"47,446",,158                                ,,"46,952",,336,14
Papua New Guinea,"46,374",,668                                ,,"43,982",,"1,724",7
Curaçao,"45,986",,295                                ,,"44,720",,971,3
Aruba,"43,693",,236                                ,,"42,438",,"1,019",2
Mayotte,"41,679",,187                                ,,N/A,N/A,N/A,
Mauritius,"41,175",,"1,035                                ",,"39,396",,744,
Tanzania,"40,806",,845                                ,,N/A,N/A,N/A,7
Togo,"39,334",,290                                ,,"39,037",,7,
Guinea,"38,153",,464                                ,,"37,218",,471,8
Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,
Bahamas,"37,491",,833                                ,,"36,366",,292,1
Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5
Lesotho,"34,490",,706                                ,,"25,980",,"7,804",
Haiti,"33,862",,860                                ,,"32,897",,105,
Mali,"32,762",,742                                ,,"31,943",,77,
Cayman Islands,"31,359",,36                                ,,"8,553",,"22,770",1
Saint Lucia,"29,550",,404                                ,,"29,095",,51,
Benin,"27,980",,163                                ,,"27,746",,71,5
Somalia,"27,300",,"1,361                                ",,"13,182",,"12,757",
Congo,"25,375",,386                                ,,"24,006",,983,
Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1
Timor-Leste,"23,360",,138                                ,,"23,102",,120,
San Marino,"22,406",,119                                ,,"22,031",,256,4
Micronesia,"22,203",,55                                ,,N/A,N/A,N/A,1
Burkina Faso,"21,631",,387                                ,,"21,143",,101,
Liechtenstein,"21,049",,88                                ,,"20,843",,118,
Gibraltar,"20,207",,110                                ,,"16,579",,"3,518",
Grenada,"19,613",,237                                ,,"19,358",,18,4
Bermuda,"18,519",,152                                ,,"18,343",,24,
Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",
South Sudan,"18,352",,138                                ,,"18,115",,99,1
Tajikistan,"17,786",,125                                ,,"17,264",,397,
Equatorial Guinea,"17,184",,183                                ,,"16,880",,121,5
Tonga,"16,182",,12                                ,,"15,638",,532,
Samoa,"15,967",,29                                ,,"1,605",,"14,333",4
Dominica,"15,760",,74                                ,,"15,673",,13,
Djibouti,"15,690",,189                                ,,"15,427",,74,
Monaco,"15,674",,63                                ,,"15,441",,170,4
Marshall Islands,"15,547",,17                                ,,"15,390",,140,22
CAR,"15,311",,113                                ,,"14,615",,583,2
Gambia,"12,586",,372                                ,,"12,189",,25,
Saint Martin,"12,058",,63                                ,,"1,399",,"10,596",7
Greenland,"11,971",,21                                ,,"2,761",,"9,189",4
Vanuatu,"11,952",,14                                ,,"11,937",,1,
Yemen,"11,945",,"2,159                                ",,"9,124",,662,23
Caribbean Netherlands,"11,426",,36                                ,,"10,476",,914,
Sint Maarten,"10,964",,89                                ,,"10,873",,2,
Eritrea,"10,189",,103                                ,,"10,086",,0,
Niger,"9,931",,312                                ,,"8,890",,729,1
Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1
Comoros,"8,977",,161                                ,,"8,799",,17,
Guinea-Bissau,"8,848",,176                                ,,"8,642",,30,6
Liberia,"8,035",,294                                ,,"7,720",,21,2
Sierra Leone,"7,760",,126                                ,,N/A,N/A,N/A,
Chad,"7,647",,194                                ,,"4,874",,"2,579",
British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,
St. Vincent Grenadines,"7,112",,115                                ,,"6,641",,356,
Saint Kitts and Nevis,"6,552",,46                                ,,"6,482",,24,
Turks and Caicos,"6,446",,36                                ,,"6,392",,18,4
Cook Islands,"6,389",,1                                ,,"6,384",,4,
Sao Tome and Principe,"6,279",,77                                ,,"6,201",,1,
Palau,"5,896",,7                                ,,"5,699",,190,1
St. Barth,"5,348",,6                                ,,N/A,N/A,N/A,
Nauru,"4,621",,1                                ,,"4,609",,11,
Anguilla,"3,904",,12                                ,,"3,879",,13,4
Kiribati,"3,430",,13                                ,,"2,703",,714,3
Saint Pierre Miquelon,"3,306",,2                                ,,"2,449",,855,1
Tuvalu,"2,805",, ,,,,"2,805",
Falkland Islands,"1,930",, ,,"1,930",,0,
Saint Helena,"1,806",, ,,2,,"1,804",
Montserrat,"1,403",,8                                ,,"1,376",,19,
Macao,851,,6                                ,,791,,54,
Wallis and Futuna,761,,7                                ,,438,,316,
Diamond Princess,712,,13                                ,,699,,0,
Niue,187,, ,,132,,55,
Vatican City,29,, ,,29,,0,
Western Sahara,10,,1                                ,,9,,0,
MS Zaandam,9,,2                                ,,7,,0,
China,"357,652","+3,635","5,235                                ",,"309,259","+3,743","43,158",143
